id,second_name,first_name,value_season,value_form,form,total_points,points_per_game,team,team_code,in_dreamteam,now_cost,event_points,chance_of_playing_next_round,code,dreamteam_count,element_type,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,position
277,Cancelo,João Pedro Cavaco,14.6,1.1,6.6,86,5.7,Man City,43,True,59,17,100.0,121145,1,2,1,2,9,6,0,0,0,3,0,0,13,353,332.2,437.0,197.0,96.7,DEF
232,Chilwell,Benjamin,13.9,0.5,3.2,85,5.0,Chelsea,8,False,61,5,100.0,172850,1,2,2,4,7,17,0,0,0,2,0,0,7,342,363.0,324.0,224.0,90.5,DEF
231,Maddison,James,11.7,1.0,7.2,84,4.7,Leicester,13,False,72,2,100.0,172780,2,3,6,4,7,14,0,0,0,3,0,0,7,283,366.2,502.1,350.0,121.7,MID
228,Tielemans,Youri,13.1,1.2,8.0,84,4.2,Leicester,13,False,64,10,,166989,2,3,5,2,7,22,0,0,0,4,0,0,11,357,453.4,234.9,229.0,91.9,MID
556,Gato Alves Dias,Rúben Santos,14.1,1.1,6.6,83,4.9,Man City,43,False,59,6,,171314,1,2,0,1,11,7,1,0,0,2,0,0,7,374,339.2,29.9,157.0,52.7,DEF
445,Bowen,Jarrod,13.2,0.6,3.8,83,4.2,West Ham,21,False,63,5,,178186,2,3,5,3,6,20,0,0,0,0,0,0,5,258,316.8,319.4,503.0,114.1,MID
514,Watkins,Ollie,13.4,0.6,4.0,83,4.6,Aston Villa,7,False,62,6,,178301,3,4,8,4,9,21,0,0,1,1,0,0,6,276,428.2,319.9,888.0,163.0,FWD
278,Santana de Moraes,Ederson,13.7,0.8,5.0,82,4.6,Man City,43,False,60,6,100.0,121160,0,1,0,0,11,12,0,0,0,1,0,31,1,345,266.8,0.0,0.0,26.8,GKP
217,Schmeichel,Kasper,14.9,0.9,5.2,82,4.1,Leicester,13,False,55,2,100.0,17745,3,1,0,0,7,22,0,0,0,0,0,57,6,362,485.4,0.0,0.0,48.6,GKP
8,Leno,Bernd,16.4,1.1,5.6,82,4.1,Arsenal,3,False,50,3,,80201,2,1,0,0,7,20,0,1,0,0,0,48,6,382,411.0,0.0,0.0,41.1,GKP
376,Bednarek,Jan,16.5,0.8,4.0,81,4.3,Southampton,20,False,49,1,100.0,171771,2,2,1,1,8,21,0,0,0,1,0,0,11,383,393.2,42.7,95.0,53.2,DEF
24,Saka,Bukayo,15.0,1.4,7.8,81,4.5,Arsenal,3,False,54,13,100.0,223340,2,3,5,3,6,16,1,0,0,0,0,0,8,285,374.4,384.4,645.0,140.4,MID
271,Gündogan,Ilkay,14.0,1.5,8.8,80,5.7,Man City,43,False,57,14,100.0,59859,4,3,7,0,8,3,0,0,0,0,0,0,12,303,384.0,302.9,324.0,101.1,MID
431,Fabianski,Lukasz,15.7,0.7,3.4,80,4.2,West Ham,21,False,51,1,100.0,37096,1,1,0,0,6,24,0,1,0,1,0,54,9,357,398.4,0.0,0.0,39.9,GKP
383,Lloris,Hugo,14.1,0.6,3.2,79,4.4,Spurs,6,False,56,0,100.0,37915,0,1,0,0,6,17,0,0,0,0,0,60,9,352,430.0,0.0,0.0,43.0,GKP
42,Targett,Matt,16.6,1.2,5.8,78,4.3,Aston Villa,7,False,47,4,,169359,2,2,0,3,10,19,0,0,0,4,0,0,5,365,290.0,225.1,80.0,59.7,DEF
110,Zouma,Kurt,13.7,0.0,0.2,78,5.2,Chelsea,8,False,57,0,,103192,4,2,4,0,6,17,0,0,0,1,0,0,6,337,416.6,45.9,179.0,64.2,DEF
273,Stones,John,14.8,1.6,8.2,77,7.0,Man City,43,False,52,6,,97299,1,2,2,0,9,2,0,0,0,0,0,0,7,297,263.2,36.3,86.0,38.5,DEF
239,Justin,James,15.2,0.8,4.0,76,3.8,Leicester,13,False,50,1,,220627,2,2,1,2,7,22,0,0,0,4,0,0,7,367,365.8,285.3,109.0,76.3,DEF
203,Harrison,Jack,14.1,0.9,4.8,76,4.2,Leeds,2,False,54,7,100.0,221399,2,3,4,4,6,31,0,0,0,1,0,0,5,258,389.6,481.0,318.0,119.1,MID
366,Ings,Danny,8.9,0.4,3.2,75,5.4,Southampton,20,False,84,2,100.0,84939,1,4,7,3,6,15,0,0,0,1,0,0,13,286,386.2,161.4,460.0,100.7,FWD
200,Dallas,Stuart,15.6,0.9,4.2,75,3.9,Leeds,2,False,48,2,,87873,1,2,3,2,6,34,0,0,0,3,0,0,5,372,386.6,206.6,269.0,86.4,DEF
377,Adams,Che,12.5,0.2,1.2,74,4.1,Southampton,20,False,59,2,100.0,200439,1,4,4,5,6,22,0,0,0,1,0,0,9,244,307.4,268.0,492.0,107.0,FWD
432,Ogbonna,Angelo,14.8,0.8,4.2,74,3.7,West Ham,21,False,50,1,100.0,40669,2,2,2,0,7,24,0,0,0,3,0,0,5,333,370.6,52.1,162.0,58.5,DEF
363,McCarthy,Alex,15.5,0.6,2.8,73,4.1,Southampton,20,False,47,1,100.0,58376,1,1,0,0,7,24,0,0,0,1,0,50,7,341,417.6,0.0,0.0,41.9,GKP
249,Firmino,Roberto,7.8,0.2,1.4,73,3.8,Liverpool,14,False,93,0,,92217,1,4,5,3,6,20,0,0,0,1,0,0,9,299,353.4,285.0,797.0,143.2,FWD
213,Meslier,Illan,15.5,0.6,2.8,73,4.1,Leeds,2,False,47,3,100.0,437495,2,1,0,0,6,34,0,0,0,0,0,71,9,396,532.2,10.0,0.0,54.4,GKP
450,Fornals,Pablo,12.0,0.6,3.4,73,3.8,West Ham,21,False,61,2,,217593,0,3,2,5,7,17,0,0,0,2,0,0,7,213,224.8,214.8,318.0,75.8,MID
6,Lacazette,Alexandre,8.8,0.8,6.8,73,4.3,Arsenal,3,False,83,11,,59966,2,4,8,1,5,9,0,0,0,2,0,0,11,263,380.6,203.7,554.0,113.6,FWD
120,Mount,Mason,10.6,0.6,4.0,72,3.8,Chelsea,8,False,68,1,,184341,1,3,2,5,5,22,0,0,0,2,0,0,8,324,399.6,734.5,401.0,153.5,MID
68,Maupay,Neal,11.6,0.7,4.0,71,3.9,Brighton,36,False,61,2,100.0,115382,1,4,7,1,4,23,0,0,1,0,0,0,10,229,310.2,169.2,679.0,115.5,FWD
4,Aubameyang,Pierre-Emerick,6.3,0.4,4.8,71,4.2,Arsenal,3,False,113,0,0.0,54694,1,3,5,1,7,16,1,0,0,2,0,0,6,202,272.2,226.3,519.0,101.8,MID
41,Mings,Tyrone,13.0,0.4,2.2,70,4.1,Aston Villa,7,False,54,1,100.0,149484,2,2,2,1,8,20,0,0,0,3,1,0,5,314,383.2,62.3,160.0,60.8,DEF
375,Walker-Peters,Kyle,14.6,0.6,3.0,70,3.9,Southampton,20,False,48,0,25.0,158534,1,2,0,2,8,21,0,0,0,4,0,0,6,354,319.8,152.6,140.0,61.3,DEF
117,Werner,Timo,7.6,0.1,1.0,70,3.7,Chelsea,8,False,92,0,100.0,165153,1,4,4,5,6,18,0,0,0,0,0,0,5,231,296.0,239.4,673.0,120.8,FWD
275,Mahrez,Riyad,8.6,0.4,3.4,70,5.0,Man City,43,False,81,12,,103025,2,3,5,2,7,10,0,0,0,0,0,0,7,242,307.0,424.1,453.0,118.3,MID
198,Klich,Mateusz,12.8,0.4,2.2,69,3.6,Leeds,2,False,54,1,100.0,72222,0,3,3,5,5,32,0,0,0,4,0,0,3,299,357.8,512.8,223.0,109.4,MID
298,Maguire,Harry,12.8,1.0,5.2,69,3.5,Man Utd,1,False,54,8,100.0,95658,1,2,2,1,6,27,0,0,0,4,0,0,4,368,433.6,55.9,281.0,77.1,DEF
